disturbance,transit_time,angular_width,MPA,avg_speed,final_speed,mass,BX,BZ_GSE,Plasma_Temp,Plasma_Speed,Plasma_flow_long,Alpha_Prot_ratio,flow_pressure
2001-10-19 16:50:00,47,360,273,901,895,9000000000000000,4,4.9,42889,348,-3,0.009,1.47
2001-10-22 15:06:00,64,360,122,1336,1280,1514320517225656,-0.8,-8.4,84175,519,-3.7,0.079,6.39
2001-10-22 18:26:00,99,106,126,618,572,1000000000000000,7.5,2.7,44629,534,-2.9,0.046,2.48
2001-10-25 15:26:00,59,360,175,1092,1080,4200000000000000,5.4,-0.4,94636,413,-3.4,0.043,3.34
2001-10-28 00:26:00,84,200,58,592,757,7200000000000000,-1.9,-7.2,180761,480,2.1,0.105,6.06
2001-11-04 16:35:00,32.5,360,239,1810,1514,1.7E+016,2.5,5.1,100292,328,-5.6,0.008,2.49
2001-11-17 05:30:00,60,360,58,1379,1249,1.3E+016,-5.5,-4.8,101870,408,1.5,0.043,1.47
2001-11-22 23:30:00,30.5,360,349,1437,1371,1.8E+016,-4.7,1.8,164738,451,0.4,0.054,1.45
2001-12-26 05:30:00,71,212,266,1446,1284,4800000000000000,4.3,3.1,96874,384,1.6,0.056,2.17
2002-01-08 17:54:00,45,360,89,1794,2210,1514320517225656,-6.5,2.5,71693,369,5.1,0.036,0.86
2002-01-14 05:35:00,72,360,246,1492,1795,3.4E+016,-2.9,-0.8,69735,454,-0.7,0.042,1.61
2002-02-13 20:30:00,77,204,122,735,648,1.1E+016,-4.8,0,43181,451,0.8,0.027,1.32
2002-02-16 06:30:00,43,360,47,1209,1225,1514320517225656,-6,-3.9,100292,317,-4,0.034,2.49
2002-03-15 23:06:00,61.5,360,309,957,784,1514320517225656,-2.6,4.1,100292,328,-6.1,0.049,2.49
2002-03-18 02:54:00,58,360,311,989,971,3.5E+016,-1.9,0,100292,291,0.3,0.038,2.49
2002-03-20 17:54:00,65,360,89,603,501,1514320517225656,5,1.2,161481,488,0.1,0.056,4.48
2002-03-20 23:54:00,97,160,235,1075,1073,9.6E+015,3,2.4,117321,458,-1.6,0.063,3.33
2002-04-15 03:50:00,54.5,360,198,720,742,1900000000000000,-7.9,1.7,47658,346,2.6,0.03,2.04
2002-04-17 08:26:00,47.5,360,292,1240,1103,1514320517225656,2.1,-4.5,381472,499,-3.2,0.113,12.62
2002-04-21 01:27:00,50,214.5,163.5,1571,1571.5,1514320517225656,-3.9,0.7,6072,456,-4.9,0.045,1.31
2002-05-07 04:06:00,78,214.5,182,505,666,2107160258612828,1.8,4.2,65085,364,-0.9,0.067,3.39
2002-05-08 13:50:00,67.5,360,229,614,697,580000000000000,7.4,-0.9,80626,362,-3.7,0.074,1.05
2002-05-16 00:50:00,82,360,158,600,506,4200000000000000,2.5,-1.9,41173,375,-2.6,0.046,1.17
2002-05-22 03:50:00,30,360,250,1557,1504,1514320517225656,-3.1,-3.4,115065,408,6.2,0.04,3.76
2002-05-27 13:27:00,60,161,35,1106,1122,3200000000000000,-6,2.3,716470,742,6.8,0.04,1.32
2002-07-15 20:30:00,42.5,360,35,1151,973,1514320517225656,-2,-2.2,100292,334,-0.3,0.023,2.49
2002-07-18 08:06:00,25,360,354,1099,919,1514320517225656,-4.2,1.4,180041,431,5.5,0.04,0.33
2002-07-23 00:42:00,60,360,87,2285,394,1514320517225656,-2,-0.4,93602,480,0.8,0.044,2.22
2002-07-26 22:06:00,62,360,172,818,816,1E+016,4,-0.2,109874,428,-2.7,0.048,2.44
2002-07-29 12:07:00,73.5,198.5,231,392,410.5,1514320517225656,0.9,5.5,374217,519,2.2,0.014,3.56
2002-07-29 23:30:00,70,130,354,360,395,800000000000000,3.8,1.7,151938,429,-2.4,0.032,1.59
2002-08-16 12:30:00,53.5,360,121,1585,1239,1514320517225656,-0.3,4.2,149779,571,-3.8,0.026,0.96
2002-08-24 01:27:00,57,360,270,1913,2066,1514320517225656,-1.8,-3.3,64557,387,-2.3,0.011,1.25
2002-09-05 16:54:00,47,360,114,1748,1855,1514320517225656,-2.1,1.5,97497,434,-1.2,0.037,1.7
